Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
26*,30,21,3,1,123.80,5,not out,2,,v Zimbabwe,Harare,12 Jun 2010,182
DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,13 Jun 2010,183
28,28,19,5,0,147.36,1,bowled,1,,v South Africa,Durban,9 Jan 2011,196
14,15,12,2,0,116.66,3,caught,1,,v West Indies,Port of Spain,4 Jun 2011,200
4,5,5,0,0,80.00,4,caught,1,,v England,Manchester,31 Aug 2011,204
15,21,16,3,0,93.75,3,caught,1,,v England,Kolkata,29 Oct 2011,214
22,30,21,0,1,104.76,3,caught,2,,v Australia,Sydney,1 Feb 2012,217
31,29,24,3,0,129.16,3,caught,2,,v Australia,Melbourne,3 Feb 2012,218
DNB,-,-,-,-,-,-,-,2,,v South Africa,Johannesburg,30 Mar 2012,242
68,65,48,11,1,141.66,3,caught,1,,v Sri Lanka,Pallekele,7 Aug 2012,255
70,67,41,10,1,170.73,2,caught,2,,v New Zealand,Chennai,11 Sep 2012,261
50,60,39,4,2,128.20,3,caught,1,,v Afghanistan,Colombo (RPS),19 Sep 2012,265
40,33,32,6,0,125.00,3,caught,1,,v England,Colombo (RPS),23 Sep 2012,272
15,18,13,2,0,115.38,3,caught,1,,v Australia,Colombo (RPS),28 Sep 2012,278
78*,61,61,8,2,127.86,3,not out,2,,v Pakistan,Colombo (RPS),30 Sep 2012,282
2,5,6,0,0,33.33,3,caught,1,,v South Africa,Colombo (RPS),2 Oct 2012,286
21,35,17,2,0,123.52,3,bowled,2,,v England,Pune,20 Dec 2012,292
38,25,20,7,0,190.00,3,lbw,1,,v England,Mumbai,22 Dec 2012,294
9,15,11,1,0,81.81,3,caught,1,,v Pakistan,Bengaluru,25 Dec 2012,296
27,31,22,3,0,122.72,3,run out,1,,v Pakistan,Ahmedabad,28 Dec 2012,298
29,26,22,2,1,131.81,4,caught,2,,v Australia,Rajkot,10 Oct 2013,331
36*,45,32,4,1,112.50,3,not out,2,,v Pakistan,Dhaka,21 Mar 2014,378
54,51,41,5,1,131.70,3,bowled,2,,v West Indies,Dhaka,23 Mar 2014,382
57*,66,50,3,1,114.00,3,not out,2,,v Bangladesh,Dhaka,28 Mar 2014,389
23,23,22,2,1,104.54,3,caught,1,,v Australia,Dhaka,30 Mar 2014,393
72*,67,44,5,2,163.63,3,not out,2,,v South Africa,Dhaka,4 Apr 2014,399
77,75,58,5,4,132.75,3,run out,1,,v Sri Lanka,Dhaka,6 Apr 2014,400
66,54,41,9,1,160.97,3,caught,2,,v England,Birmingham,7 Sep 2014,405
43,58,27,1,3,159.25,3,caught,1,,v South Africa,Dharamsala,2 Oct 2015,456
1,3,1,0,0,100.00,3,run out,1,,v South Africa,Cuttack,5 Oct 2015,457
90*,71,55,9,2,163.63,3,not out,1,,v Australia,Adelaide,26 Jan 2016,485
59*,44,33,7,1,178.78,3,not out,1,,v Australia,Melbourne,29 Jan 2016,486
50,49,36,2,1,138.88,3,bowled,2,,v Australia,Sydney,31 Jan 2016,489
7,13,12,1,0,58.33,3,caught,1,,v Bangladesh,Dhaka,24 Feb 2016,509
49,71,51,7,0,96.07,3,lbw,2,,v Pakistan,Dhaka,27 Feb 2016,512
56*,85,47,7,0,119.14,3,not out,2,,v Sri Lanka,Dhaka,1 Mar 2016,515
DNB,-,-,-,-,-,-,-,2,,v U.A.E.,Dhaka,3 Mar 2016,517
41*,62,28,5,0,146.42,3,not out,2,,v Bangladesh,Dhaka,6 Mar 2016,521
23,-,27,2,0,85.18,3,caught,2,,v New Zealand,Nagpur,15 Mar 2016,535
55*,66,37,7,1,148.64,3,not out,2,,v Pakistan,Kolkata,19 Mar 2016,541
24,37,24,0,1,100.00,3,bowled,1,,v Bangladesh,Bengaluru,23 Mar 2016,547
82*,78,51,9,2,160.78,3,not out,2,,v Australia,Mohali,27 Mar 2016,553
89*,63,47,11,1,189.36,3,not out,1,,v West Indies,Mumbai,31 Mar 2016,556
16,8,9,3,0,177.77,3,caught,2,,v West Indies,Lauderhill,27 Aug 2016,562
DNB,-,-,-,-,-,-,-,2,,v West Indies,Lauderhill,28 Aug 2016,563
29,34,26,4,0,111.53,1,caught,1,,v England,Kanpur,26 Jan 2017,592
21,17,15,2,1,140.00,1,caught,1,,v England,Nagpur,29 Jan 2017,593
2,6,4,0,0,50.00,1,run out,1,,v England,Bengaluru,1 Feb 2017,594
39,-,22,7,1,177.27,1,caught,1,,v West Indies,Kingston,9 Jul 2017,617
82,-,54,7,1,151.85,3,caught,2,,v Sri Lanka,Colombo (RPS),6 Sep 2017,618
22*,19,14,3,0,157.14,3,not out,2,,v Australia,Ranchi,7 Oct 2017,623
0,2,2,0,0,0.00,3,caught,1,,v Australia,Guwahati,10 Oct 2017,624
26*,19,11,0,3,236.36,4,not out,1,,v New Zealand,Delhi,1 Nov 2017,630
65,59,42,8,1,154.76,4,caught,2,,v New Zealand,Rajkot,4 Nov 2017,631
13,6,6,1,1,216.66,3,caught,1,,v New Zealand,Thiruvananthapuram,7 Nov 2017,632
26,26,20,2,1,130.00,4,lbw,1,,v South Africa,Johannesburg,18 Feb 2018,652
1,6,5,0,0,20.00,4,caught,1,,v South Africa,Centurion,21 Feb 2018,654
