Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
1,-,8,0,0,12.50,4,bowled,1,,v India,Toronto,11 Sep 1999,1497
15,-,22,3,0,68.18,4,lbw,1,,v India,Toronto,12 Sep 1999,1498
7,-,22,1,0,31.81,4,caught,2,,v India,Toronto,14 Sep 1999,1499
6,-,15,1,0,40.00,7,caught,2,,v Pakistan,Toronto,18 Sep 1999,1501
0,-,1,0,0,0.00,7,bowled,1,,v Pakistan,Toronto,19 Sep 1999,1502
7,-,18,0,0,38.88,7,caught,1,,v Sri Lanka,Sharjah,17 Oct 1999,1515
22,-,42,3,0,52.38,3,caught,2,,v Pakistan,Sharjah,19 Oct 1999,1517
4,14,12,0,0,33.33,3,caught,1,,v Zimbabwe,Kingston,1 Apr 2000,1584
58*,62,45,5,1,128.88,5,not out,1,,v Zimbabwe,Kingston,2 Apr 2000,1585
15,-,13,1,0,115.38,5,caught,1,,v Pakistan,Kingstown,12 Apr 2000,1588
42,-,49,4,0,85.71,4,caught,1,,v Pakistan,St George's,16 Apr 2000,1592
8,-,16,0,0,50.00,4,run out,2,,v Pakistan,Bridgetown,19 Apr 2000,1593
33,-,35,4,0,94.28,5,run out,1,,v Pakistan,Port of Spain,22 Apr 2000,1594
0,-,2,0,0,0.00,5,caught,1,,v Pakistan,Port of Spain,23 Apr 2000,1595
41,102,86,6,0,47.67,2,run out,1,,v Zimbabwe,Bristol,6 Jul 2000,1605
TDNB,-,-,-,-,-,-,-,-,,v England,Lord's,9 Jul 2000,1609
6,17,13,1,0,46.15,1,caught,2,,v Zimbabwe,Canterbury,11 Jul 2000,1611
26,72,59,3,0,44.06,5,caught,1,,v England,Chester-le-Street,15 Jul 2000,1615
3,5,4,0,0,75.00,5,caught,1,,v Zimbabwe,Chester-le-Street,16 Jul 2000,1616
37,80,71,4,0,52.11,2,caught,1,,v England,Nottingham,20 Jul 2000,1618
27,69,34,4,0,79.41,2,caught,2,,v South Africa,Kingston,28 Apr 2001,1712
50,109,72,7,0,69.44,2,caught,1,,v South Africa,St John's,2 May 2001,1713
1,2,3,0,0,33.33,1,caught,2,,v South Africa,St George's,5 May 2001,1714
9,30,27,0,1,33.33,1,caught,1,,v South Africa,St George's,6 May 2001,1715
6,21,15,0,0,40.00,2,caught,1,,v South Africa,Bridgetown,9 May 2001,1716
28,66,39,5,0,71.79,2,bowled,2,,v South Africa,Kingstown,16 May 2001,1718
53,113,76,7,0,69.73,2,caught,1,,v Zimbabwe,Harare,23 Jun 2001,1727
