Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
10.0,2,39,1,3.90,39.00,60.0,,v U.A.E.,Dambulla,17 Jul 2004,2146
9.0,1,24,1,2.66,24.00,54.0,,v Bangladesh,Colombo (RPS),23 Jul 2004,2151
10.0,0,56,2,5.60,28.00,30.0,,v India,Colombo (RPS),27 Jul 2004,2153
5.0,0,40,0,8.00,-,-,,v South Africa,Dambulla,28 Aug 2004,2161
6.0,0,44,0,7.33,-,-,,v New Zealand,Queenstown,31 Dec 2005,2309
10.0,1,38,1,3.80,38.00,60.0,,v Pakistan,Colombo (RPS),17 Mar 2006,2351
9.0,1,22,2,2.44,11.00,27.0,,v Pakistan,Colombo (RPS),19 Mar 2006,2352
7.0,0,34,0,4.85,-,-,,v Pakistan,Colombo (SSC),22 Mar 2006,2354
9.0,2,26,3,2.88,8.66,18.0,,v England,Lord's,17 Jun 2006,2384
8.0,0,45,2,5.62,22.50,24.0,,v England,The Oval,20 Jun 2006,2385
10.0,0,50,2,5.00,25.00,30.0,,v England,Chester-le-Street,24 Jun 2006,2386
9.4,0,63,2,6.51,31.50,29.0,,v England,Manchester,28 Jun 2006,2388
10.0,0,44,4,4.40,11.00,15.0,,v England,Leeds,1 Jul 2006,2389
8.0,1,48,0,6.00,-,-,,v Netherlands,Amstelveen,4 Jul 2006,2390
1.4,0,7,0,4.20,-,-,,v India,Colombo (SSC),18 Aug 2006,2405
10.0,1,35,0,3.50,-,-,,v Bangladesh,Mohali,7 Oct 2006,2423
9.3,0,25,3,2.63,8.33,19.0,,v Zimbabwe,Ahmedabad,10 Oct 2006,2425
5.4,0,26,2,4.58,13.00,17.0,,v West Indies,Mumbai (BS),14 Oct 2006,2428
7.0,1,49,0,7.00,-,-,,v Pakistan,Jaipur,17 Oct 2006,2431
9.2,1,22,2,2.35,11.00,28.0,,v New Zealand,Mumbai (BS),20 Oct 2006,2433
9.0,0,53,4,5.88,13.25,13.5,,v South Africa,Ahmedabad,24 Oct 2006,2435
10.0,0,66,2,6.60,33.00,30.0,,v New Zealand,Napier,28 Dec 2006,2468
10.0,0,53,1,5.30,53.00,60.0,,v New Zealand,Queenstown,31 Dec 2006,2469
8.0,3,14,3,1.75,4.66,16.0,,v New Zealand,Auckland,6 Jan 2007,2471
-,-,-,-,-,-,-,,v New Zealand,Hamilton,9 Jan 2007,2472
-,-,-,-,-,-,-,,v India,Kolkata,8 Feb 2007,2514
10.0,0,75,2,7.50,37.50,30.0,,v India,Rajkot,11 Feb 2007,2520
9.0,1,54,0,6.00,-,-,,v India,Visakhapatnam,17 Feb 2007,2525
5.0,2,10,3,2.00,3.33,10.0,,v Bermuda,Port of Spain,15 Mar 2007,2534
6.0,0,27,3,4.50,9.00,12.0,,v Bangladesh,Port of Spain,21 Mar 2007,2546
8.0,0,39,1,4.87,39.00,48.0,,v India,Port of Spain,23 Mar 2007,2550
9.2,0,54,4,5.78,13.50,14.0,,v South Africa,Providence,28 Mar 2007,2556
5.0,0,34,2,6.80,17.00,15.0,,v West Indies,Providence,1 Apr 2007,2560
10.0,1,50,2,5.00,25.00,30.0,,v England,North Sound,4 Apr 2007,2563
7.0,2,21,1,3.00,21.00,42.0,,v New Zealand,Kingston,24 Apr 2007,2579
8.0,1,49,2,6.12,24.50,24.0,,v Australia,Bridgetown,28 Apr 2007,2581
9.0,1,53,0,5.88,-,-,,v Pakistan,Abu Dhabi,18 May 2007,2584
8.0,0,33,0,4.12,-,-,,v Pakistan,Abu Dhabi,22 May 2007,2586
7.0,0,17,1,2.42,17.00,42.0,,v Bangladesh,Colombo (PSS),20 Jul 2007,2605
9.0,2,22,3,2.44,7.33,18.0,,v Bangladesh,Colombo (RPS),23 Jul 2007,2606
6.0,0,32,1,5.33,32.00,36.0,,v England,Dambulla,1 Oct 2007,2622
10.0,1,58,0,5.80,-,-,,v England,Dambulla,4 Oct 2007,2624
7.5,1,39,1,4.97,39.00,47.0,,v England,Dambulla,7 Oct 2007,2626
9.0,1,39,2,4.33,19.50,27.0,,v England,Colombo (RPS),10 Oct 2007,2628
6.1,1,24,2,3.89,12.00,18.5,,v England,Colombo (RPS),13 Oct 2007,2630
10.0,1,56,1,5.60,56.00,60.0,,v India,Brisbane,5 Feb 2008,2672
10.0,0,55,1,5.50,55.00,60.0,,v Australia,Sydney,8 Feb 2008,2673
6.0,0,45,1,7.50,45.00,36.0,,v India,Canberra,12 Feb 2008,2676
9.4,1,47,4,4.86,11.75,14.5,,v Australia,Perth,15 Feb 2008,2679
10.0,1,37,2,3.70,18.50,30.0,,v India,Adelaide,19 Feb 2008,2681
10.0,1,44,1,4.40,44.00,60.0,,v Australia,Melbourne,22 Feb 2008,2683
6.0,0,36,1,6.00,36.00,36.0,,v India,Hobart,26 Feb 2008,2686
9.0,1,48,1,5.33,48.00,54.0,,v Australia,Melbourne,29 Feb 2008,2687
8.4,0,50,1,5.76,50.00,52.0,,v Pakistan,Dambulla,30 Jul 2009,2864
10.0,0,37,0,3.70,-,-,,v Pakistan,Dambulla,1 Aug 2009,2866
10.0,0,79,0,7.90,-,-,,v Pakistan,Colombo (RPS),7 Aug 2009,2868
6.1,0,28,4,4.54,7.00,9.2,,v New Zealand,Colombo (RPS),8 Sep 2009,2884
8.0,0,33,1,4.12,33.00,48.0,,v India,Colombo (RPS),12 Sep 2009,2887
10.0,0,81,1,8.10,81.00,60.0,,v India,Colombo (RPS),14 Sep 2009,2889
7.4,0,43,2,5.60,21.50,23.0,,v South Africa,Centurion,22 Sep 2009,2893
9.0,0,43,1,4.77,43.00,54.0,,v England,Johannesburg,25 Sep 2009,2896
10.0,0,85,1,8.50,85.00,60.0,,v New Zealand,Johannesburg,27 Sep 2009,2899
9.3,1,56,0,5.89,-,-,,v India,Cuttack,21 Dec 2009,2934
9.1,0,75,0,8.18,-,-,,v India,Kolkata,24 Dec 2009,2935
10.0,0,34,5,3.40,6.80,12.0,,v Pakistan,Dambulla,15 Jun 2010,2991
8.2,0,35,2,4.20,17.50,25.0,,v Bangladesh,Dambulla,18 Jun 2010,2995
10.0,0,57,2,5.70,28.50,30.0,,v India,Dambulla,24 Jun 2010,3001
10.0,1,35,3,3.50,11.66,20.0,,v New Zealand,Dambulla,13 Aug 2010,3031
7.0,0,34,0,4.85,-,-,,v India,Dambulla,16 Aug 2010,3032
-,-,-,-,-,-,-,,v New Zealand,Dambulla,19 Aug 2010,3037
9.0,1,21,2,2.33,10.50,27.0,,v India,Dambulla,22 Aug 2010,3038
9.0,0,49,2,5.44,24.50,27.0,,v India,Dambulla,28 Aug 2010,3040
10.0,0,39,1,3.90,39.00,60.0,,v Australia,Melbourne,3 Nov 2010,3065
7.4,0,34,1,4.43,34.00,46.0,,v Australia,Sydney,5 Nov 2010,3066
6.0,0,31,0,5.16,-,-,,v Australia,Brisbane,7 Nov 2010,3068
10.0,0,51,3,5.10,17.00,20.0,,v West Indies,Colombo (SSC),31 Jan 2011,3092
10.0,0,30,3,3.00,10.00,20.0,,v West Indies,Colombo (SSC),3 Feb 2011,3096
7.4,0,38,6,4.95,6.33,7.6,,v Kenya,Colombo (RPS),1 Mar 2011,3113
-,-,-,-,-,-,-,,v Australia,Colombo (RPS),5 Mar 2011,3119
8.0,0,51,0,6.37,-,-,,v Zimbabwe,Pallekele,10 Mar 2011,3125
5.0,0,38,1,7.60,38.00,30.0,,v New Zealand,Mumbai,18 Mar 2011,3137
10.0,0,46,1,4.60,46.00,60.0,,v England,Colombo (RPS),26 Mar 2011,3145
9.0,0,55,3,6.11,18.33,18.0,,v New Zealand,Colombo (RPS),29 Mar 2011,3146
9.0,0,42,2,4.66,21.00,27.0,,v India,Mumbai,2 Apr 2011,3148
7.0,0,40,3,5.71,13.33,14.0,,v England,The Oval,28 Jun 2011,3165
8.0,0,41,1,5.12,41.00,48.0,,v England,Leeds,1 Jul 2011,3167
10.0,1,54,2,5.40,27.00,30.0,,v England,Lord's,3 Jul 2011,3168
5.0,0,28,0,5.60,-,-,,v England,Nottingham,6 Jul 2011,3169
10.0,0,60,0,6.00,-,-,,v England,Manchester,9 Jul 2011,3170
9.4,2,30,5,3.10,6.00,11.6,,v Scotland,Edinburgh,13 Jul 2011,3172
8.0,0,45,1,5.62,45.00,48.0,,v Australia,Hambantota,14 Aug 2011,3178
8.2,2,28,5,3.36,5.60,10.0,,v Australia,Hambantota,16 Aug 2011,3180
7.0,2,18,2,2.57,9.00,21.0,,v Australia,Colombo (RPS),20 Aug 2011,3182
8.0,2,35,3,4.37,11.66,16.0,,v Australia,Colombo (RPS),22 Aug 2011,3184
5.0,0,35,0,7.00,-,-,,v Pakistan,Dubai (DSC),11 Nov 2011,3212
9.0,1,36,3,4.00,12.00,18.0,,v Pakistan,Dubai (DSC),14 Nov 2011,3213
10.0,0,57,2,5.70,28.50,30.0,,v Pakistan,Dubai (DSC),18 Nov 2011,3214
9.3,0,38,1,4.00,38.00,57.0,,v Pakistan,Sharjah,20 Nov 2011,3215
9.0,2,28,1,3.11,28.00,54.0,,v Pakistan,Abu Dhabi,23 Nov 2011,3216
10.0,0,54,5,5.40,10.80,12.0,,v South Africa,Paarl,11 Jan 2012,3225
10.0,1,38,1,3.80,38.00,60.0,,v South Africa,East London,14 Jan 2012,3226
5.0,1,20,2,4.00,10.00,15.0,,v South Africa,Bloemfontein,17 Jan 2012,3227
10.0,0,57,1,5.70,57.00,60.0,,v South Africa,Kimberley,20 Jan 2012,3228
10.0,0,79,2,7.90,39.50,30.0,,v South Africa,Johannesburg,22 Jan 2012,3229
9.0,0,49,1,5.44,49.00,54.0,,v India,Perth,8 Feb 2012,3233
10.0,0,48,2,4.80,24.00,30.0,,v Australia,Perth,10 Feb 2012,3235
10.0,1,53,2,5.30,26.50,30.0,,v India,Adelaide,14 Feb 2012,3239
8.5,0,42,1,4.75,42.00,53.0,,v Australia,Sydney,17 Feb 2012,3241
8.0,0,55,2,6.87,27.50,24.0,,v India,Brisbane,21 Feb 2012,3246
10.0,0,56,1,5.60,56.00,60.0,,v Australia,Hobart,24 Feb 2012,3248
7.4,0,96,1,12.52,96.00,46.0,,v India,Hobart,28 Feb 2012,3251
10.0,0,49,4,4.90,12.25,15.0,,v Australia,Melbourne,2 Mar 2012,3253
8.0,0,74,1,9.25,74.00,48.0,,v Australia,Brisbane,4 Mar 2012,3255
10.0,1,40,3,4.00,13.33,20.0,,v Australia,Adelaide,6 Mar 2012,3256
10.0,0,69,0,6.90,-,-,,v Australia,Adelaide,8 Mar 2012,3257
8.0,1,44,0,5.50,-,-,,v Pakistan,Dhaka,15 Mar 2012,3260
8.0,0,29,0,3.62,-,-,,v Bangladesh,Dhaka,20 Mar 2012,3265
7.0,2,24,1,3.42,24.00,42.0,,v Pakistan,Pallekele,7 Jun 2012,3272
8.0,1,40,2,5.00,20.00,24.0,,v Pakistan,Pallekele,9 Jun 2012,3273
3.0,0,9,1,3.00,9.00,18.0,,v Pakistan,Colombo (RPS),13 Jun 2012,3274
7.0,0,30,2,4.28,15.00,21.0,,v Pakistan,Colombo (RPS),16 Jun 2012,3275
10.0,1,52,1,5.20,52.00,60.0,,v Pakistan,Colombo (RPS),18 Jun 2012,3277
10.0,0,83,0,8.30,-,-,,v India,Hambantota,21 Jul 2012,3291
