Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
3.0,0,25,0,8.33,-,-,,v England,Southampton,15 Jun 2006,7
3.0,0,15,0,5.00,-,-,,v New Zealand,Auckland,26 Dec 2006,12
3.0,0,13,2,4.33,6.50,9.0,,v Kenya,Johannesburg,14 Sep 2007,27
4.0,0,28,1,7.00,28.00,24.0,,v New Zealand,Johannesburg,15 Sep 2007,30
4.0,0,43,3,10.75,14.33,8.0,,v Pakistan,Johannesburg,17 Sep 2007,35
2.0,0,8,1,4.00,8.00,12.0,,v Bangladesh,Johannesburg,18 Sep 2007,38
1.0,0,8,0,8.00,-,-,,v Australia,Cape Town,20 Sep 2007,41
3.2,0,38,0,11.40,-,-,,v India,Colombo (RPS),10 Feb 2009,82
4.0,0,36,3,9.00,12.00,8.0,,v Australia,Nottingham,8 Jun 2009,97
4.0,0,45,2,11.25,22.50,12.0,,v West Indies,Nottingham,10 Jun 2009,100
4.0,0,17,3,4.25,5.66,8.0,,v Pakistan,Lord's,12 Jun 2009,104
4.0,0,19,2,4.75,9.50,12.0,,v Ireland,Lord's,14 Jun 2009,108
3.0,0,26,1,8.66,26.00,18.0,,v New Zealand,Nottingham,16 Jun 2009,112
2.4,0,24,1,9.00,24.00,16.0,,v West Indies,The Oval,19 Jun 2009,115
3.4,0,14,0,3.81,-,-,,v Pakistan,Lord's,21 Jun 2009,116
4.0,0,28,1,7.00,28.00,24.0,,v Pakistan,Colombo (RPS),12 Aug 2009,118
4.0,0,21,2,5.25,10.50,12.0,,v New Zealand,Colombo (RPS),2 Sep 2009,120
4.0,0,35,1,8.75,35.00,24.0,,v New Zealand,Colombo (RPS),4 Sep 2009,121
2.0,0,29,0,14.50,-,-,,v India,Nagpur,9 Dec 2009,126
4.0,0,28,1,7.00,28.00,24.0,,v India,Mohali,12 Dec 2009,127
3.5,0,33,0,8.60,-,-,,v New Zealand,Providence,30 Apr 2010,151
1.0,0,6,0,6.00,-,-,,v Zimbabwe,Providence,3 May 2010,157
4.0,0,28,3,7.00,9.33,8.0,,v West Indies,Bridgetown,7 May 2010,166
4.0,0,40,0,10.00,-,-,,v Australia,Bridgetown,9 May 2010,170
4.0,0,25,2,6.25,12.50,12.0,,v India,Gros Islet,11 May 2010,173
4.0,0,33,1,8.25,33.00,24.0,,v England,Gros Islet,13 May 2010,175
4.0,0,25,1,6.25,25.00,24.0,,v New Zealand,Lauderhill,22 May 2010,180
2.3,0,12,3,4.80,4.00,5.0,,v New Zealand,Lauderhill,23 May 2010,181
4.0,0,26,1,6.50,26.00,24.0,,v Australia,Perth,31 Oct 2010,192
4.0,0,15,2,3.75,7.50,12.0,,v England,Bristol,25 Jun 2011,201
3.3,0,32,1,9.14,32.00,21.0,,v Pakistan,Abu Dhabi,25 Nov 2011,215
