Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
122*,201,135,8,2,90.37,2,not out,1,,v West Indies,Auckland,10 Jan 2009,2789
43,60,39,4,1,110.25,3,caught,2,,v West Indies,Napier,13 Jan 2009,2792
13,47,33,1,1,39.39,2,bowled,2,,v Australia,Perth,1 Feb 2009,2811
8,17,14,1,0,57.14,2,caught,2,,v Australia,Melbourne,6 Feb 2009,2816
6,17,16,1,0,37.50,1,caught,2,,v Australia,Sydney,8 Feb 2009,2817
45,70,70,4,1,64.28,2,caught,1,,v Australia,Adelaide,10 Feb 2009,2819
64*,82,34,5,3,188.23,2,not out,2,,v Australia,Brisbane,13 Feb 2009,2820
64,90,70,5,0,91.42,3,caught,2,,v India,Napier,3 Mar 2009,2821
TDNB,-,-,-,-,-,-,-,-,,v India,Wellington,6 Mar 2009,2822
1,3,4,0,0,25.00,4,lbw,2,,v India,Christchurch,8 Mar 2009,2823
25,55,49,0,0,51.02,4,caught,1,,v India,Hamilton,11 Mar 2009,2824
57*,97,50,7,2,114.00,3,not out,2,,v India,Auckland,14 Mar 2009,2825
3,11,13,0,0,23.07,3,caught,2,,v Sri Lanka,Colombo (RPS),8 Sep 2009,2884
22,66,42,3,0,52.38,3,caught,1,,v India,Colombo (RPS),11 Sep 2009,2886
21,39,26,4,0,80.76,3,caught,1,,v South Africa,Centurion,24 Sep 2009,2895
66,126,76,3,1,86.84,3,bowled,1,,v Sri Lanka,Johannesburg,27 Sep 2009,2899
53,89,55,7,1,96.36,2,caught,2,,v England,Johannesburg,29 Sep 2009,2902
11,22,10,1,1,110.00,3,caught,2,,v Pakistan,Johannesburg,3 Oct 2009,2906
40,84,64,3,0,62.50,3,caught,1,,v Australia,Centurion,5 Oct 2009,2907
4,4,9,0,0,44.44,3,bowled,2,,v Pakistan,Abu Dhabi,3 Nov 2009,2921
62,82,70,5,2,88.57,3,caught,1,,v Pakistan,Abu Dhabi,6 Nov 2009,2924
8,23,21,0,0,38.09,3,caught,1,,v Pakistan,Abu Dhabi,9 Nov 2009,2927
2,15,8,0,0,25.00,3,caught,1,,v Bangladesh,Napier,5 Feb 2010,2949
32,33,29,4,1,110.34,3,bowled,2,,v Bangladesh,Dunedin,8 Feb 2010,2951
91,109,91,9,3,100.00,3,caught,2,,v Bangladesh,Christchurch,11 Feb 2010,2953
9,42,30,1,0,30.00,3,caught,2,,v Australia,Napier,3 Mar 2010,2966
18,53,34,2,1,52.94,3,caught,2,,v Australia,Auckland,6 Mar 2010,2969
21,44,28,4,0,75.00,3,caught,1,,v Australia,Hamilton,9 Mar 2010,2971
30,34,22,5,0,136.36,2,caught,1,,v Australia,Auckland,11 Mar 2010,2973
7,24,14,0,1,50.00,2,run out,1,,v Australia,Wellington,13 Mar 2010,2975
11,9,6,2,0,183.33,2,caught,1,,v India,Dambulla,10 Aug 2010,3030
0,1,1,0,0,0.00,2,caught,1,,v Sri Lanka,Dambulla,13 Aug 2010,3031
0,1,1,0,0,0.00,2,lbw,2,,v India,Dambulla,25 Aug 2010,3039
30,46,37,6,0,81.08,1,caught,2,,v India,Guwahati,28 Nov 2010,3070
70,145,102,3,1,68.62,1,caught,1,,v India,Jaipur,1 Dec 2010,3072
12,24,15,1,1,80.00,1,run out,1,,v India,Vadodara,4 Dec 2010,3074
30,42,25,5,0,120.00,1,caught,1,,v India,Bengaluru,7 Dec 2010,3076
0,2,4,0,0,0.00,1,caught,1,,v India,Chennai,10 Dec 2010,3077
40*,74,41,3,0,97.56,1,not out,2,,v Pakistan,Wellington,22 Jan 2011,3085
TDNB,-,-,-,-,-,-,-,-,,v Pakistan,Queenstown,26 Jan 2011,3088
39,68,39,4,2,100.00,1,caught,2,,v Pakistan,Christchurch,29 Jan 2011,3090
21,27,17,3,1,123.52,1,caught,1,,v Pakistan,Napier,1 Feb 2011,3093
65,110,70,9,0,92.85,1,caught,2,,v Pakistan,Hamilton,3 Feb 2011,3095
44,105,75,3,1,58.66,1,caught,1,,v Pakistan,Auckland,5 Feb 2011,3097
39*,37,32,5,2,121.87,1,not out,2,,v Kenya,Chennai,20 Feb 2011,3101
10,45,25,2,0,40.00,1,bowled,1,,v Australia,Nagpur,25 Feb 2011,3107
86*,114,108,7,2,79.62,1,not out,2,,v Zimbabwe,Ahmedabad,4 Mar 2011,3117
57,123,86,6,0,66.27,1,bowled,1,,v Pakistan,Pallekele,8 Mar 2011,3123
17,45,29,3,0,58.62,1,caught,1,,v Canada,Mumbai,13 Mar 2011,3129
13,36,23,1,0,56.52,1,lbw,2,,v Sri Lanka,Mumbai,18 Mar 2011,3137
1,24,14,0,0,7.14,1,caught,1,,v South Africa,Dhaka,25 Mar 2011,3144
39,91,65,3,0,60.00,1,bowled,1,,v Sri Lanka,Colombo (RPS),29 Mar 2011,3146
74,113,97,5,2,76.28,2,caught,2,,v Zimbabwe,Harare,20 Oct 2011,3204
105,168,121,9,0,86.77,2,bowled,2,,v Zimbabwe,Harare,22 Oct 2011,3206
70,105,66,9,0,106.06,2,bowled,1,,v Zimbabwe,Dunedin,3 Feb 2012,3230
77,93,80,8,2,96.25,2,caught,1,,v Zimbabwe,Whangarei,6 Feb 2012,3232
85,90,69,7,5,123.18,2,stumped,1,,v Zimbabwe,Napier,9 Feb 2012,3234
7,29,17,1,0,41.17,2,caught,1,,v South Africa,Wellington,25 Feb 2012,3249
58,108,73,8,0,79.45,2,caught,1,,v South Africa,Napier,29 Feb 2012,3252
7,19,13,1,0,53.84,2,caught,1,,v South Africa,Auckland,3 Mar 2012,3254
1,5,6,0,0,16.66,2,caught,1,,v West Indies,Kingston,5 Jul 2012,3283
51,105,81,5,0,62.96,2,caught,2,,v West Indies,Kingston,7 Jul 2012,3285
11,20,15,2,0,73.33,2,lbw,1,,v West Indies,Basseterre,11 Jul 2012,3288
0,4,3,0,0,0.00,2,lbw,2,,v West Indies,Basseterre,14 Jul 2012,3289
33,77,56,2,2,58.92,2,lbw,2,,v West Indies,Basseterre,16 Jul 2012,3290
0,2,0,0,0,-,2,run out,2,,v South Africa,Paarl,19 Jan 2013,3323
0,10,10,0,0,0.00,1,caught,1,,v South Africa,Kimberley,22 Jan 2013,3325
5,22,18,1,0,27.77,1,caught,1,,v South Africa,Potchefstroom,25 Jan 2013,3328
27*,42,27,4,1,100.00,2,not out,2,,v England,Hamilton,17 Feb 2013,3335
103*,202,123,8,4,83.73,2,not out,2,,v England,Lord's,31 May 2013,3360
189*,216,155,19,2,121.93,1,not out,1,,v England,Southampton,2 Jun 2013,3361
38,41,36,6,1,105.55,2,bowled,2,,v England,Nottingham,5 Jun 2013,3362
25,52,24,4,0,104.16,1,caught,2,,v Sri Lanka,Cardiff,9 Jun 2013,3366
8,17,13,1,0,61.53,2,caught,2,,v Australia,Birmingham,12 Jun 2013,3369
9,18,12,1,0,75.00,1,bowled,2,,v England,Cardiff,16 Jun 2013,3373
2,16,17,0,0,11.76,1,lbw,1,,v West Indies,Auckland,26 Dec 2013,3449
1,7,7,0,0,14.28,1,caught,1,,v West Indies,Queenstown,1 Jan 2014,3451
81,166,119,4,2,68.06,1,caught,1,,v West Indies,Nelson,4 Jan 2014,3452
6,14,10,0,0,60.00,1,bowled,2,,v West Indies,Hamilton,8 Jan 2014,3453
8,32,23,1,0,34.78,1,caught,1,,v India,Napier,19 Jan 2014,3456
44,77,65,5,1,67.69,1,caught,1,,v India,Hamilton,22 Jan 2014,3458
111,141,129,12,2,86.04,1,caught,1,,v India,Auckland,25 Jan 2014,3462
35,35,27,6,1,129.62,1,lbw,2,,v India,Hamilton,28 Jan 2014,3465
16,54,35,2,0,45.71,1,caught,1,,v India,Wellington,31 Jan 2014,3467
5,42,29,0,0,17.24,1,caught,1,,v South Africa,Mount Maunganui,21 Oct 2014,3536
11,31,29,1,0,37.93,1,caught,2,,v South Africa,Mount Maunganui,24 Oct 2014,3537
TDNB,-,-,-,-,-,-,-,-,,v South Africa,Hamilton,27 Oct 2014,3538
12,25,19,1,0,63.15,1,caught,2,,v Pakistan,Sharjah,14 Dec 2014,3568
58,100,78,7,0,74.35,1,caught,1,,v Pakistan,Abu Dhabi,17 Dec 2014,3570
8,10,9,1,0,88.88,1,caught,1,,v Pakistan,Abu Dhabi,19 Dec 2014,3571
0,2,3,0,0,0.00,1,caught,2,,v Sri Lanka,Christchurch,11 Jan 2015,3574
10,27,19,2,0,52.63,1,caught,1,,v Sri Lanka,Hamilton,15 Jan 2015,3577
66*,116,78,4,3,84.61,1,not out,1,,v Sri Lanka,Auckland,17 Jan 2015,3580
20,33,27,1,1,74.07,1,caught,2,,v Sri Lanka,Nelson,20 Jan 2015,3585
0,1,1,0,0,0.00,1,caught,1,,v Sri Lanka,Dunedin,23 Jan 2015,3588
28,64,43,4,0,65.11,1,caught,1,,v Sri Lanka,Dunedin,25 Jan 2015,3590
