Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
0,2,2,0,0,0.00,2,lbw,2,,v Australia,Sydney,15 Feb 2009,83
41,26,28,4,3,146.42,3,lbw,2,,v India,Christchurch,25 Feb 2009,84
10,15,19,1,0,52.63,3,lbw,2,,v India,Wellington,27 Feb 2009,85
DNB,-,-,-,-,-,-,-,2,,v Scotland,The Oval,6 Jun 2009,91
6,8,5,1,0,120.00,2,caught,2,,v South Africa,Lord's,9 Jun 2009,99
45*,60,32,0,4,140.62,3,not out,1,,v Ireland,Nottingham,11 Jun 2009,102
8,14,8,1,0,100.00,3,lbw,1,,v Pakistan,The Oval,13 Jun 2009,107
43,45,34,4,1,126.47,3,caught,2,,v Sri Lanka,Nottingham,16 Jun 2009,112
29,38,25,2,1,116.00,3,caught,1,,v Sri Lanka,Colombo (RPS),2 Sep 2009,120
32,29,20,2,1,160.00,4,bowled,1,,v Sri Lanka,Colombo (RPS),4 Sep 2009,121
8,6,4,2,0,200.00,2,caught,2,,v Pakistan,Dubai (DSC),12 Nov 2009,122
17,16,21,3,0,80.95,3,bowled,2,,v Pakistan,Dubai (DSC),13 Nov 2009,123
DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Hamilton,3 Feb 2010,131
30,41,29,4,0,103.44,3,caught,1,,v Australia,Wellington,26 Feb 2010,148
17,22,17,3,0,100.00,3,caught,1,,v Australia,Christchurch,28 Feb 2010,149
19,39,24,1,1,79.16,3,bowled,2,,v Sri Lanka,Providence,30 Apr 2010,151
6*,21,12,0,0,50.00,3,not out,2,,v Zimbabwe,Providence,4 May 2010,159
18,27,19,3,0,94.73,3,caught,2,,v South Africa,Bridgetown,6 May 2010,164
2,9,10,0,0,20.00,3,caught,1,,v Pakistan,Bridgetown,8 May 2010,167
10,7,10,0,0,100.00,7,bowled,1,,v Sri Lanka,Lauderhill,22 May 2010,180
54,45,29,4,4,186.20,2,run out,2,,v Pakistan,Auckland,26 Dec 2010,193
44,50,28,3,3,157.14,2,caught,1,,v Pakistan,Hamilton,28 Dec 2010,194
0,2,2,0,0,0.00,2,caught,2,,v Pakistan,Christchurch,30 Dec 2010,195
40*,54,36,2,2,111.11,1,not out,2,,v Zimbabwe,Harare,15 Oct 2011,211
67,68,46,7,2,145.65,2,caught,1,,v Zimbabwe,Harare,17 Oct 2011,213
91*,74,54,5,6,168.51,2,not out,2,,v Zimbabwe,Auckland,11 Feb 2012,219
78*,93,55,5,4,141.81,2,not out,2,,v South Africa,Wellington,17 Feb 2012,221
47,48,35,7,1,134.28,2,caught,1,,v South Africa,Hamilton,19 Feb 2012,222
26,25,19,3,1,136.84,2,caught,2,,v South Africa,Auckland,22 Feb 2012,223
11,19,9,2,0,122.22,2,stumped,2,,v West Indies,Lauderhill,30 Jun 2012,247
18,18,18,2,1,100.00,2,caught,2,,v West Indies,Lauderhill,1 Jul 2012,248
1,7,5,0,0,20.00,2,bowled,1,,v India,Chennai,11 Sep 2012,261
11,17,14,0,1,78.57,1,bowled,1,,v Bangladesh,Pallekele,21 Sep 2012,267
38,34,30,6,0,126.66,2,caught,1,,v Sri Lanka,Pallekele,27 Sep 2012,275
5,7,6,1,0,83.33,1,lbw,1,,v England,Pallekele,29 Sep 2012,279
21,36,27,2,0,77.77,2,caught,2,,v West Indies,Pallekele,1 Oct 2012,283
101*,89,69,9,6,146.37,1,not out,2,,v South Africa,East London,23 Dec 2012,295
24,26,20,3,1,120.00,2,caught,2,,v South Africa,Port Elizabeth,26 Dec 2012,297
44,58,32,3,2,137.50,2,caught,2,,v England,Auckland,9 Feb 2013,301
47,45,31,4,2,151.61,1,caught,1,,v England,Hamilton,12 Feb 2013,302
59,77,55,2,1,107.27,2,caught,1,,v England,Wellington,15 Feb 2013,304
25,16,16,3,1,156.25,1,caught,1,,v West Indies,Auckland,11 Jan 2014,352
1,3,4,0,0,25.00,1,caught,2,,v West Indies,Wellington,15 Jan 2014,353
11,14,9,2,0,122.22,1,caught,2,,v England,Chittagong,22 Mar 2014,380
22,31,25,3,0,88.00,1,caught,2,,v South Africa,Chittagong,24 Mar 2014,383
9,13,15,1,0,60.00,1,caught,2,,v Netherlands,Chittagong,29 Mar 2014,390
5,13,9,0,0,55.55,1,run out,2,,v Sri Lanka,Chittagong,31 Mar 2014,395
32,47,30,2,1,106.66,1,bowled,1,,v Pakistan,Dubai (DSC),4 Dec 2014,411
6,2,3,1,0,200.00,1,bowled,2,,v England,Manchester,23 Jun 2015,423
33,35,24,5,0,137.50,1,caught,1,,v Zimbabwe,Harare,9 Aug 2015,450
42,54,37,5,0,113.51,1,run out,1,,v South Africa,Durban,14 Aug 2015,451
60,50,35,6,3,171.42,1,caught,1,,v South Africa,Centurion,16 Aug 2015,452
58,43,34,4,4,170.58,1,run out,1,,v Sri Lanka,Mount Maunganui,7 Jan 2016,474
63,29,25,6,5,252.00,1,caught,2,,v Sri Lanka,Auckland,10 Jan 2016,476
2,-,3,0,0,66.66,1,run out,2,,v Pakistan,Auckland,15 Jan 2016,478
87*,68,58,9,4,150.00,1,not out,2,,v Pakistan,Hamilton,17 Jan 2016,480
42,25,19,6,2,221.05,1,caught,1,,v Pakistan,Wellington,22 Jan 2016,483
6,2,2,0,1,300.00,1,lbw,1,,v India,Nagpur,15 Mar 2016,535
39,27,27,2,4,144.44,1,caught,1,,v Australia,Dharamsala,18 Mar 2016,539
80,61,48,10,3,166.66,1,bowled,1,,v Pakistan,Mohali,22 Mar 2016,545
15,9,12,3,0,125.00,1,caught,1,,v England,Delhi,30 Mar 2016,555
4,8,8,1,0,50.00,1,caught,2,,v India,Delhi,1 Nov 2017,630
45,44,41,3,3,109.75,1,caught,1,,v India,Rajkot,4 Nov 2017,631
1,3,3,0,0,33.33,1,bowled,2,,v India,Thiruvananthapuram,7 Nov 2017,632
5,5,4,1,0,125.00,1,lbw,1,,v West Indies,Nelson,29 Dec 2017,636
2,3,4,0,0,50.00,1,caught,1,,v West Indies,Mount Maunganui,1 Jan 2018,637
63,51,38,5,2,165.78,1,caught,1,,v West Indies,Mount Maunganui,3 Jan 2018,638
2,5,6,0,0,33.33,1,caught,2,,v Pakistan,Wellington,22 Jan 2018,639
26,33,27,1,1,96.29,1,caught,2,,v Pakistan,Auckland,25 Jan 2018,640
59,-,43,2,4,137.20,1,caught,2,,v Pakistan,Mount Maunganui,28 Jan 2018,641
5,9,5,1,0,100.00,1,bowled,1,,v Australia,Sydney,3 Feb 2018,642
65,58,40,6,3,162.50,1,caught,1,,v England,Wellington,13 Feb 2018,647
105,74,54,6,9,194.44,1,caught,1,,v Australia,Auckland,16 Feb 2018,649
62,68,47,3,4,131.91,1,bowled,2,,v England,Hamilton,18 Feb 2018,650
21,20,15,2,1,140.00,1,caught,1,,v Australia,Auckland,21 Feb 2018,653
