Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
10.0,0,32,0,3.20,-,-,,v Kenya,Nairobi (Aga),2 Oct 1996,1123
10.0,0,43,1,4.30,43.00,60.0,,v Sri Lanka,Nairobi (Gym),4 Oct 1996,1125
10.0,0,48,3,4.80,16.00,20.0,,v South Africa,Nairobi (Gym),6 Oct 1996,1126
8.0,0,36,1,4.50,36.00,48.0,,v Zimbabwe,Quetta,30 Oct 1996,1133
10.0,0,38,0,3.80,-,-,,v Zimbabwe,Lahore,1 Nov 1996,1135
7.0,0,25,2,3.57,12.50,21.0,,v Zimbabwe,Peshawar,3 Nov 1996,1136
9.0,0,37,1,4.11,37.00,54.0,,v Sri Lanka,Sharjah,8 Nov 1996,1140
10.0,0,38,0,3.80,-,-,,v New Zealand,Sharjah,10 Nov 1996,1141
9.0,0,34,0,3.77,-,-,,v Sri Lanka,Sharjah,12 Nov 1996,1143
7.0,1,26,0,3.71,-,-,,v New Zealand,Sharjah,13 Nov 1996,1144
2.5,0,14,2,4.94,7.00,8.5,,v New Zealand,Sharjah,15 Nov 1996,1145
9.0,0,43,0,4.77,-,-,,v New Zealand,Gujranwala,4 Dec 1996,1146
7.0,0,40,2,5.71,20.00,21.0,,v New Zealand,Sialkot,6 Dec 1996,1148
8.1,1,39,1,4.77,39.00,49.0,,v New Zealand,Karachi,8 Dec 1996,1150
10.0,0,49,1,4.90,49.00,60.0,,v Australia,Adelaide,15 Dec 1996,1152
8.1,1,31,2,3.79,15.50,24.5,,v West Indies,Adelaide,17 Dec 1996,1154
9.0,0,32,1,3.55,32.00,54.0,,v Australia,Sydney,1 Jan 1997,1155
6.1,0,39,0,6.32,-,-,,v West Indies,Brisbane,3 Jan 1997,1157
1.3,0,1,2,0.66,0.50,4.5,,v Australia,Hobart,7 Jan 1997,1160
6.0,0,52,0,8.66,-,-,,v West Indies,Perth,10 Jan 1997,1161
9.0,0,48,1,5.33,48.00,54.0,,v Australia,Melbourne,16 Jan 1997,1164
10.0,0,33,3,3.30,11.00,20.0,,v West Indies,Sydney,18 Jan 1997,1165
7.0,0,21,1,3.00,21.00,42.0,,v West Indies,Melbourne,20 Jan 1997,1166
9.0,1,39,0,4.33,-,-,,v Sri Lanka,Sharjah,4 Apr 1997,1190
6.4,1,11,1,1.65,11.00,40.0,,v Zimbabwe,Sharjah,6 Apr 1997,1192
10.0,0,30,1,3.00,30.00,60.0,,v Sri Lanka,Sharjah,7 Apr 1997,1193
9.0,1,25,0,2.77,-,-,,v Zimbabwe,Sharjah,9 Apr 1997,1196
5.0,0,24,0,4.80,-,-,,v Sri Lanka,Sharjah,11 Apr 1997,1198
10.0,0,49,1,4.90,49.00,60.0,,v New Zealand,Mohali,9 May 1997,1204
8.0,0,58,0,7.25,-,-,,v Sri Lanka,Gwalior,12 May 1997,1205
10.0,0,56,0,5.60,-,-,,v India,Chennai,21 May 1997,1209
10.0,0,63,0,6.30,-,-,,v Sri Lanka,Mohali,24 May 1997,1212
5.0,0,40,1,8.00,40.00,30.0,,v Sri Lanka,Kolkata,27 May 1997,1214
4.0,0,25,1,6.25,25.00,24.0,,v Sri Lanka,Colombo (RPS),14 Jul 1997,1216
9.0,0,36,0,4.00,-,-,,v Bangladesh,Colombo (RPS),16 Jul 1997,1217
-,-,-,-,-,-,-,,v India,Colombo (SSC),20 Jul 1997,1219
10.0,0,43,1,4.30,43.00,60.0,,v India,Toronto,13 Sep 1997,1227
1.0,0,3,0,3.00,-,-,,v India,Toronto,14 Sep 1997,1228
-,-,-,-,-,-,-,,v India,Toronto,17 Sep 1997,1229
5.0,0,20,0,4.00,-,-,,v India,Toronto,18 Sep 1997,1230
-,-,-,-,-,-,-,,v India,Toronto,20 Sep 1997,1231
9.0,0,48,0,5.33,-,-,,v India,Toronto,21 Sep 1997,1232
