Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
4.0,0,28,0,7.00,-,-,,v England,Bristol,28 Aug 2006,8
1.3,0,19,0,12.66,-,-,,v South Africa,Johannesburg,2 Feb 2007,14
4.0,0,26,2,6.50,13.00,12.0,,v Bangladesh,Nairobi (Gym),2 Sep 2007,18
4.0,0,19,4,4.75,4.75,6.0,,v Scotland,Durban,12 Sep 2007,22
4.0,0,37,2,9.25,18.50,12.0,,v India,Durban,14 Sep 2007,29
4.0,0,18,3,4.50,6.00,8.0,,v Sri Lanka,Johannesburg,17 Sep 2007,35
4.0,1,35,1,8.75,35.00,24.0,,v Australia,Johannesburg,18 Sep 2007,37
4.0,0,25,1,6.25,25.00,24.0,,v Bangladesh,Cape Town,20 Sep 2007,42
4.0,0,24,1,6.00,24.00,24.0,,v New Zealand,Cape Town,22 Sep 2007,44
4.0,0,30,0,7.50,-,-,,v India,Johannesburg,24 Sep 2007,46
4.0,0,19,1,4.75,19.00,24.0,,v Bangladesh,Karachi,20 Apr 2008,55
4.0,1,13,1,3.25,13.00,24.0,,v Canada,King City (NW),10 Oct 2008,70
4.0,0,20,1,5.00,20.00,24.0,,v Sri Lanka,King City (NW),11 Oct 2008,72
4.0,0,23,1,5.75,23.00,24.0,,v Zimbabwe,King City (NW),12 Oct 2008,73
4.0,0,15,1,3.75,15.00,24.0,,v Sri Lanka,King City (NW),13 Oct 2008,76
4.0,1,14,3,3.50,4.66,8.0,,v Australia,Dubai (DSC),7 May 2009,89
4.0,0,36,0,9.00,-,-,,v England,The Oval,7 Jun 2009,95
4.0,0,11,4,2.75,2.75,6.0,,v Netherlands,Lord's,9 Jun 2009,98
4.0,0,23,2,5.75,11.50,12.0,,v Sri Lanka,Lord's,12 Jun 2009,104
4.0,0,17,1,4.25,17.00,24.0,,v New Zealand,The Oval,13 Jun 2009,107
4.0,0,26,1,6.50,26.00,24.0,,v Ireland,The Oval,15 Jun 2009,110
4.0,0,16,2,4.00,8.00,12.0,,v South Africa,Nottingham,18 Jun 2009,114
4.0,0,20,1,5.00,20.00,24.0,,v Sri Lanka,Lord's,21 Jun 2009,116
4.0,0,21,1,5.25,21.00,24.0,,v Sri Lanka,Colombo (RPS),12 Aug 2009,118
3.3,0,21,2,6.00,10.50,10.5,,v New Zealand,Dubai (DSC),12 Nov 2009,122
3.0,0,21,1,7.00,21.00,18.0,,v New Zealand,Dubai (DSC),13 Nov 2009,123
4.0,0,27,0,6.75,-,-,,v England,Dubai (DSC),20 Feb 2010,145
4.0,0,37,0,9.25,-,-,,v Bangladesh,Gros Islet,1 May 2010,154
4.0,0,33,0,8.25,-,-,,v Australia,Gros Islet,2 May 2010,156
4.0,0,28,1,7.00,28.00,24.0,,v England,Bridgetown,6 May 2010,163
4.0,0,29,2,7.25,14.50,12.0,,v New Zealand,Bridgetown,8 May 2010,167
4.0,0,21,0,5.25,-,-,,v South Africa,Gros Islet,10 May 2010,171
4.0,0,34,1,8.50,34.00,24.0,,v Australia,Gros Islet,14 May 2010,176
4.0,0,26,1,6.50,26.00,24.0,,v Australia,Birmingham,5 Jul 2010,184
4.0,0,30,2,7.50,15.00,12.0,,v Australia,Birmingham,6 Jul 2010,185
4.0,0,27,2,6.75,13.50,12.0,,v England,Cardiff,5 Sep 2010,186
3.0,0,15,1,5.00,15.00,18.0,,v England,Cardiff,7 Sep 2010,187
2.0,0,23,0,11.50,-,-,,v South Africa,Abu Dhabi,26 Oct 2010,190
4.0,0,13,1,3.25,13.00,24.0,,v South Africa,Abu Dhabi,27 Oct 2010,191
3.0,0,19,0,6.33,-,-,,v New Zealand,Auckland,26 Dec 2010,193
4.0,0,22,1,5.50,22.00,24.0,,v New Zealand,Hamilton,28 Dec 2010,194
2.5,0,14,4,4.94,3.50,4.2,,v New Zealand,Christchurch,30 Dec 2010,195
3.0,0,30,0,10.00,-,-,,v West Indies,Gros Islet,21 Apr 2011,199
4.0,0,21,0,5.25,-,-,,v Sri Lanka,Abu Dhabi,25 Nov 2011,215
4.0,0,15,1,3.75,15.00,24.0,,v Bangladesh,Dhaka,29 Nov 2011,216
4.0,0,27,1,6.75,27.00,24.0,,v England,Dubai (DSC),23 Feb 2012,226
3.0,0,28,1,9.33,28.00,18.0,,v England,Dubai (DSC),25 Feb 2012,228
4.0,0,19,0,4.75,-,-,,v England,Abu Dhabi,27 Feb 2012,229
2.0,0,9,0,4.50,-,-,,v Sri Lanka,Hambantota,1 Jun 2012,244
4.0,0,17,2,4.25,8.50,12.0,,v Sri Lanka,Hambantota,3 Jun 2012,245
4.0,0,30,1,7.50,30.00,24.0,,v New Zealand,Pallekele,23 Sep 2012,271
4.0,0,20,1,5.00,20.00,24.0,,v Bangladesh,Pallekele,25 Sep 2012,274
4.0,0,26,0,6.50,-,-,,v South Africa,Colombo (RPS),28 Sep 2012,277
4.0,0,34,1,8.50,34.00,24.0,,v India,Colombo (RPS),30 Sep 2012,282
4.0,0,33,0,8.25,-,-,,v Australia,Colombo (RPS),2 Oct 2012,285
4.0,0,28,1,7.00,28.00,24.0,,v Sri Lanka,Colombo (RPS),4 Oct 2012,287
3.0,0,26,1,8.66,26.00,18.0,,v India,Bengaluru,25 Dec 2012,296
3.0,0,33,0,11.00,-,-,,v India,Ahmedabad,28 Dec 2012,298
-,-,-,-,-,-,-,,v South Africa,Centurion,3 Mar 2013,306
4.0,0,24,0,6.00,-,-,,v West Indies,Kingstown,27 Jul 2013,321
3.0,0,29,1,9.66,29.00,18.0,,v West Indies,Kingstown,28 Jul 2013,322
4.0,0,25,3,6.25,8.33,8.0,,v Zimbabwe,Harare,23 Aug 2013,326
3.0,0,24,0,8.00,-,-,,v Zimbabwe,Harare,24 Aug 2013,327
2.3,0,16,0,6.40,-,-,,v South Africa,Dubai (DSC),13 Nov 2013,334
4.0,0,43,0,10.75,-,-,,v South Africa,Dubai (DSC),15 Nov 2013,336
4.0,0,14,1,3.50,14.00,24.0,,v South Africa,Johannesburg,20 Nov 2013,340
4.0,0,28,3,7.00,9.33,8.0,,v South Africa,Cape Town,22 Nov 2013,343
2.0,0,24,1,12.00,24.00,12.0,,v Afghanistan,Sharjah,8 Dec 2013,349
4.0,0,20,1,5.00,20.00,24.0,,v Sri Lanka,Dubai (DSC),11 Dec 2013,350
2.0,0,25,0,12.50,-,-,,v Sri Lanka,Dubai (DSC),13 Dec 2013,351
