Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,Match No
10.0,1,68,1,6.80,2,1,,v England,Chester-le-Street,15 Jun 2008,2708
5.0,0,35,2,7.00,2,1,,v England,Birmingham,18 Jun 2008,2709
10.0,2,38,4,3.80,3,2,,v England,Bristol,21 Jun 2008,2710
10.0,1,47,3,4.70,3,1,,v England,The Oval,25 Jun 2008,2714
9.0,0,49,3,5.44,4,2,,v England,Lord's,28 Jun 2008,2720
6.0,0,22,3,3.66,1,2,,v Ireland,Aberdeen,1 Jul 2008,2727
4.0,0,12,0,3.00,2,1,,v Scotland,Aberdeen,3 Jul 2008,2731
9.0,0,41,0,4.55,3,2,,v Bangladesh,Dhaka,9 Oct 2008,2763
9.0,0,33,1,3.66,2,2,,v Bangladesh,Dhaka,11 Oct 2008,2764
10.0,0,40,1,4.00,2,2,,v Bangladesh,Chittagong,14 Oct 2008,2765
7.4,0,33,2,4.30,3,1,,v West Indies,Queenstown,31 Dec 2008,2786
5.5,1,38,1,6.51,2,2,,v West Indies,Christchurch,3 Jan 2009,2787
10.0,2,36,2,3.60,2,1,,v West Indies,Wellington,7 Jan 2009,2788
0.3,0,10,0,20.00,3,2,,v West Indies,Auckland,10 Jan 2009,2789
10.0,0,63,0,6.30,3,1,,v West Indies,Napier,13 Jan 2009,2792
10.0,0,34,1,3.40,2,1,,v Australia,Perth,1 Feb 2009,2811
10.0,0,57,1,5.70,2,1,,v Australia,Melbourne,6 Feb 2009,2816
10.0,0,52,0,5.20,2,1,,v Australia,Sydney,8 Feb 2009,2817
10.0,0,61,1,6.10,2,2,,v Australia,Adelaide,10 Feb 2009,2819
5.0,0,49,0,9.80,2,1,,v Australia,Brisbane,13 Feb 2009,2820
10.0,0,105,0,10.50,2,1,,v India,Christchurch,8 Mar 2009,2823
10.0,2,54,1,5.40,2,1,,v Pakistan,Abu Dhabi,3 Nov 2009,2921
8.0,0,48,1,6.00,3,2,,v Pakistan,Abu Dhabi,6 Nov 2009,2924
10.0,0,26,2,2.60,4,2,,v Pakistan,Abu Dhabi,9 Nov 2009,2927
7.0,0,34,0,4.85,2,2,,v Bangladesh,Napier,5 Feb 2010,2949
10.0,2,37,3,3.70,1,1,,v Bangladesh,Christchurch,11 Feb 2010,2953
8.0,0,66,1,8.25,1,1,,v Australia,Napier,3 Mar 2010,2966
10.0,0,57,0,5.70,2,1,,v Australia,Auckland,6 Mar 2010,2969
10.0,0,43,1,4.30,2,2,,v Australia,Hamilton,9 Mar 2010,2971
5.1,0,55,0,10.64,2,2,,v Australia,Auckland,11 Mar 2010,2973
9.0,0,36,4,4.00,4,2,,v Australia,Wellington,13 Mar 2010,2975
6.0,0,41,1,6.83,3,2,,v Sri Lanka,Dambulla,13 Aug 2010,3031
10.0,2,49,4,4.90,2,1,,v India,Dambulla,25 Aug 2010,3039
7.0,0,37,0,5.28,2,1,,v Bangladesh,Dhaka,5 Oct 2010,3051
3.0,0,20,0,6.66,2,2,,v Bangladesh,Dhaka,11 Oct 2010,3054
5.0,0,33,0,6.60,6,2,,v India,Jaipur,1 Dec 2010,3072
10.0,0,64,1,6.40,2,2,,v India,Bengaluru,7 Dec 2010,3076
DNB,-,-,-,-,-,2,,v India,Chennai,10 Dec 2010,3077
9.3,0,33,5,3.47,2,1,,v Pakistan,Wellington,22 Jan 2011,3085
2.0,0,10,0,5.00,2,1,,v Pakistan,Queenstown,26 Jan 2011,3088
10.0,0,57,2,5.70,2,1,,v Pakistan,Christchurch,29 Jan 2011,3090
10.0,0,70,0,7.00,1,2,,v Pakistan,Napier,1 Feb 2011,3093
8.0,0,47,0,5.87,2,2,,v Pakistan,Auckland,5 Feb 2011,3097
6.0,0,13,3,2.16,1,1,,v Kenya,Chennai,20 Feb 2011,3101
10.0,2,45,1,4.50,1,2,,v Australia,Nagpur,25 Feb 2011,3107
9.2,3,29,3,3.10,2,1,,v Zimbabwe,Ahmedabad,4 Mar 2011,3117
8.0,1,25,3,3.12,2,2,,v Pakistan,Pallekele,8 Mar 2011,3123
10.0,1,36,1,3.60,2,2,,v Canada,Mumbai,13 Mar 2011,3129
10.0,0,63,3,6.30,1,1,,v Sri Lanka,Mumbai,18 Mar 2011,3137
9.0,0,44,1,4.88,3,2,,v South Africa,Dhaka,25 Mar 2011,3144
10.0,2,57,3,5.70,2,2,,v Sri Lanka,Colombo (RPS),29 Mar 2011,3146
8.0,0,27,0,3.37,3,2,,v Zimbabwe,Dunedin,3 Feb 2012,3230
10.0,0,50,1,5.00,2,2,,v Zimbabwe,Whangarei,6 Feb 2012,3232
10.0,0,64,1,6.40,2,2,,v South Africa,Wellington,25 Feb 2012,3249
8.0,0,61,0,7.62,2,2,,v South Africa,Napier,29 Feb 2012,3252
7.0,1,37,0,5.28,2,2,,v West Indies,Kingston,5 Jul 2012,3283
