Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
26*,30,21,3,1,123.8,5,not out,2,,v Zimbabwe,Harare,2010-06-12 12:00:00,182
DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,2010-06-13 12:00:00,183
28,28,19,5,0,147.36,1,bowled,1,,v South Africa,Durban,2011-01-09 12:00:00,196
14,15,12,2,0,116.66,3,caught,1,,v West Indies,Port of Spain,2011-06-04 12:00:00,200
4,5,5,0,0,80,4,caught,1,,v England,Manchester,2011-08-31 12:00:00,204
15,21,16,3,0,93.75,3,caught,1,,v England,Kolkata,2011-10-29 12:00:00,214
22,30,21,0,1,104.76,3,caught,2,,v Australia,Sydney,2012-02-01 12:00:00,217
31,29,24,3,0,129.16,3,caught,2,,v Australia,Melbourne,2012-02-03 12:00:00,218
DNB,-,-,-,-,-,-,-,2,,v South Africa,Johannesburg,2012-03-30 12:00:00,242
68,65,48,11,1,141.66,3,caught,1,,v Sri Lanka,Pallekele,2012-08-07 12:00:00,255
70,67,41,10,1,170.73,2,caught,2,,v New Zealand,Chennai,2012-09-11 12:00:00,261
50,60,39,4,2,128.2,3,caught,1,,v Afghanistan,Colombo (RPS),2012-09-19 12:00:00,265
40,33,32,6,0,125,3,caught,1,,v England,Colombo (RPS),2012-09-23 12:00:00,272
15,18,13,2,0,115.38,3,caught,1,,v Australia,Colombo (RPS),2012-09-28 12:00:00,278
78*,61,61,8,2,127.86,3,not out,2,,v Pakistan,Colombo (RPS),2012-09-30 12:00:00,282
2,5,6,0,0,33.33,3,caught,1,,v South Africa,Colombo (RPS),2012-10-02 12:00:00,286
21,35,17,2,0,123.52,3,bowled,2,,v England,Pune,2012-12-20 12:00:00,292
38,25,20,7,0,190,3,lbw,1,,v England,Mumbai,2012-12-22 12:00:00,294
9,15,11,1,0,81.81,3,caught,1,,v Pakistan,Bengaluru,2012-12-25 12:00:00,296
27,31,22,3,0,122.72,3,run out,1,,v Pakistan,Ahmedabad,2012-12-28 12:00:00,298
29,26,22,2,1,131.81,4,caught,2,,v Australia,Rajkot,2013-10-10 12:00:00,331
36*,45,32,4,1,112.5,3,not out,2,,v Pakistan,Dhaka,2014-03-21 12:00:00,378
54,51,41,5,1,131.7,3,bowled,2,,v West Indies,Dhaka,2014-03-23 12:00:00,382
57*,66,50,3,1,114,3,not out,2,,v Bangladesh,Dhaka,2014-03-28 12:00:00,389
23,23,22,2,1,104.54,3,caught,1,,v Australia,Dhaka,2014-03-30 12:00:00,393
72*,67,44,5,2,163.63,3,not out,2,,v South Africa,Dhaka,2014-04-04 12:00:00,399
77,75,58,5,4,132.75,3,run out,1,,v Sri Lanka,Dhaka,2014-04-06 12:00:00,400
66,54,41,9,1,160.97,3,caught,2,,v England,Birmingham,2014-09-07 12:00:00,405
43,58,27,1,3,159.25,3,caught,1,,v South Africa,Dharamsala,2015-10-02 12:00:00,456
1,3,1,0,0,100,3,run out,1,,v South Africa,Cuttack,2015-10-05 12:00:00,457
90*,71,55,9,2,163.63,3,not out,1,,v Australia,Adelaide,2016-01-26 12:00:00,485
59*,44,33,7,1,178.78,3,not out,1,,v Australia,Melbourne,2016-01-29 12:00:00,486
50,49,36,2,1,138.88,3,bowled,2,,v Australia,Sydney,2016-01-31 12:00:00,489
7,13,12,1,0,58.33,3,caught,1,,v Bangladesh,Dhaka,2016-02-24 12:00:00,509
49,71,51,7,0,96.07,3,lbw,2,,v Pakistan,Dhaka,2016-02-27 12:00:00,512
56*,85,47,7,0,119.14,3,not out,2,,v Sri Lanka,Dhaka,2016-03-01 12:00:00,515
DNB,-,-,-,-,-,-,-,2,,v U.A.E.,Dhaka,2016-03-03 12:00:00,517
41*,62,28,5,0,146.42,3,not out,2,,v Bangladesh,Dhaka,2016-03-06 12:00:00,521
23,-,27,2,0,85.18,3,caught,2,,v New Zealand,Nagpur,2016-03-15 12:00:00,535
55*,66,37,7,1,148.64,3,not out,2,,v Pakistan,Kolkata,2016-03-19 12:00:00,541
24,37,24,0,1,100,3,bowled,1,,v Bangladesh,Bengaluru,2016-03-23 12:00:00,547
82*,78,51,9,2,160.78,3,not out,2,,v Australia,Mohali,2016-03-27 12:00:00,553
89*,63,47,11,1,189.36,3,not out,1,,v West Indies,Mumbai,2016-03-31 12:00:00,556
16,8,9,3,0,177.77,3,caught,2,,v West Indies,Lauderhill,2016-08-27 12:00:00,562
DNB,-,-,-,-,-,-,-,2,,v West Indies,Lauderhill,2016-08-28 12:00:00,563
29,34,26,4,0,111.53,1,caught,1,,v England,Kanpur,2017-01-26 12:00:00,592
21,17,15,2,1,140,1,caught,1,,v England,Nagpur,2017-01-29 12:00:00,593
2,6,4,0,0,50,1,run out,1,,v England,Bengaluru,2017-02-01 12:00:00,594
39,-,22,7,1,177.27,1,caught,1,,v West Indies,Kingston,2017-07-09 12:00:00,617
82,-,54,7,1,151.85,3,caught,2,,v Sri Lanka,Colombo (RPS),2017-09-06 12:00:00,618
22*,19,14,3,0,157.14,3,not out,2,,v Australia,Ranchi,2017-10-07 12:00:00,623
0,2,2,0,0,0,3,caught,1,,v Australia,Guwahati,2017-10-10 12:00:00,624
26*,19,11,0,3,236.36,4,not out,1,,v New Zealand,Delhi,2017-11-01 12:00:00,630
65,59,42,8,1,154.76,4,caught,2,,v New Zealand,Rajkot,2017-11-04 12:00:00,631
13,6,6,1,1,216.66,3,caught,1,,v New Zealand,Thiruvananthapuram,2017-11-07 12:00:00,632
26,26,20,2,1,130,4,lbw,1,,v South Africa,Johannesburg,2018-02-18 12:00:00,652
1,6,5,0,0,20,4,caught,1,,v South Africa,Centurion,2018-02-21 12:00:00,654
